,User-ID,Location,Age,Password
156,21356,usa,56.0,
157,21659,usa,31.0,
158,22625,usa,54.0,
159,29168,usa,,
160,31315,usa,34.0,
161,31362,usa,,
162,32188,usa,51.0,
163,33580,usa,27.0,
164,34588,usa,,
165,37712,usa,23.0,
166,39441,usa,26.0,
167,39646,usa,35.0,
168,39773,usa,49.0,
169,40889,usa,37.0,
170,41841,canada,,
171,43842,unknown,,
172,53174,usa,29.0,
173,53220,usa,36.0,
174,53614,portugal,30.0,
175,55441,usa,32.0,
176,60337,usa,50.0,
177,62862,usa,47.0,
178,64436,usa,36.0,
179,75819,usa,,
180,76151,usa,49.0,
181,76351,usa,34.0,
182,76851,usa,31.0,
183,78236,usa,40.0,
184,83287,usa,45.0,
185,91832,usa,,
186,92184,usa,,
187,96054,canada,29.0,
188,98168,unknown,,
189,98741,usa,30.0,
190,100471,usa,39.0,
191,100846,usa,39.0,
192,101226,usa,59.0,
193,104051,usa,29.0,
194,109013,usa,39.0,
195,109180,unknown,60.0,
196,111174,usa,,
197,112914,usa,,
198,113519,usa,,
199,114368,usa,33.0,
200,114847,usa,,
201,115003,usa,43.0,
202,116904,usa,38.0,
203,124983,usa,32.0,
204,125519,usa,40.0,
205,130571,usa,,
206,134797,usa,,
207,135265,usa,32.0,
208,136439,usa,36.0,
209,136509,usa,31.0,
210,140340,unknown,42.0,
211,140358,usa,,
212,141719,usa,,
213,145641,usa,,
214,147224,usa,41.0,
215,147847,usa,,
216,148258,canada,,
217,149069,usa,30.0,
218,149231,unknown,,
219,151503,usa,33.0,
220,152354,usa,,
221,160548,unknown,22.0,
222,160819,usa,43.0,
223,161870,usa,,
224,162639,usa,,
225,162827,usa,,
226,166391,usa,60.0,
227,171445,usa,37.0,
228,173415,usa,31.0,
229,183995,usa,49.0,
230,187256,usa,,
231,187621,netherlands,39.0,
232,193778,usa,,
233,196466,usa,30.0,
234,197206,usa,,
235,198213,usa,19.0,
236,200422,usa,29.0,
237,200643,usa,21.0,
238,203506,usa,18.0,
239,203649,usa,41.0,
240,206534,usa,,
241,209160,canada,32.0,
242,209174,canada,,
243,210485,usa,35.0,
244,212568,usa,,
245,213379,usa,,
246,215988,usa,42.0,
247,218615,usa,,
248,222563,usa,41.0,
249,224249,usa,,
250,234359,usa,35.0,
251,234565,canada,35.0,
252,235146,usa,39.0,
253,235842,usa,41.0,
254,236172,usa,34.0,
255,237064,unknown,68.0,
256,240643,usa,,
257,243996,usa,,
258,246470,usa,31.0,
259,246513,usa,23.0,
260,251164,usa,59.0,
261,251422,usa,23.0,
262,251613,usa,34.0,
263,252222,canada,21.0,
264,252820,canada,33.0,
265,254053,usa,27.0,
266,256402,usa,34.0,
267,259259,usa,30.0,
268,259629,usa,51.0,
269,264085,portugal,24.0,
270,264947,usa,,
271,269835,usa,25.0,
272,271176,usa,39.0,
273,277427,usa,48.0,
274,1660,usa,,
275,2288,usa,30.0,
276,4551,usa,,
277,4938,usa,30.0,
278,9856,usa,22.0,
279,14521,usa,,
280,16795,usa,47.0,
281,20462,usa,,
282,25545,usa,33.0,
283,25981,usa,,
284,29763,usa,56.0,
285,31826,usa,54.0,
286,35859,usa,,
287,36964,usa,40.0,
288,37293,canada,41.0,
289,38023,usa,30.0,
290,44647,usa,54.0,
291,44728,usa,31.0,
292,46269,brazil,26.0,
293,47971,canada,40.0,
294,48025,usa,43.0,
295,51883,usa,31.0,
296,52584,usa,45.0,
297,55789,usa,35.0,
298,57006,usa,30.0,
299,58224,usa,,
300,60050,usa,40.0,
301,61028,usa,50.0,
302,68185,usa,22.0,
303,71490,usa,23.0,
304,76352,usa,58.0,
305,76483,usa,37.0,
306,92658,usa,39.0,
307,94787,usa,24.0,
308,95903,usa,27.0,
309,96776,usa,28.0,
310,99347,usa,30.0,
311,101620,usa,,
312,107784,usa,,
313,108950,usa,43.0,
314,110973,usa,43.0,
315,112881,canada,18.0,
316,114444,usa,34.0,
317,115120,usa,29.0,
318,120093,usa,59.0,
319,121072,usa,63.0,
320,124474,usa,53.0,
321,126736,usa,38.0,
322,128404,usa,30.0,
323,131046,usa,26.0,
324,133689,canada,29.0,
325,133738,usa,28.0,
326,135149,usa,,
327,135458,canada,24.0,
328,137336,usa,26.0,
329,140000,united kingdom,,
330,141010,usa,35.0,
331,152099,usa,14.0,
332,154944,usa,33.0,
333,158258,usa,,
334,160401,usa,30.0,
335,167189,usa,43.0,
336,168064,canada,,
337,170575,usa,32.0,
338,171968,usa,23.0,
339,172030,usa,30.0,
340,175978,usa,27.0,
341,178240,usa,49.0,
342,184197,usa,42.0,
343,184299,usa,31.0,
344,185722,usa,24.0,
345,186521,canada,21.0,
346,190708,usa,43.0,
347,195694,usa,29.0,
348,198711,usa,62.0,
349,207782,usa,28.0,
350,209373,usa,37.0,
351,211426,usa,24.0,
352,212427,usa,,
353,212628,usa,36.0,
354,216683,usa,,
355,224146,canada,35.0,
356,224435,usa,24.0,
357,225087,canada,51.0,
358,225989,usa,27.0,
359,226879,usa,31.0,
360,231827,usa,32.0,
361,231897,usa,33.0,
362,233829,usa,,
363,235392,usa,27.0,
364,235684,usa,26.0,
365,235935,usa,43.0,
366,239074,usa,38.0,
367,240035,usa,,
368,242118,usa,46.0,
369,245827,unknown,,
370,246000,usa,20.0,
371,250016,usa,17.0,
372,252848,usa,32.0,
373,253821,usa,,
374,254971,usa,53.0,
375,257024,unknown,38.0,
376,257700,usa,22.0,
377,260699,usa,42.0,
378,261829,usa,32.0,
379,268032,usa,34.0,
380,268544,usa,,
381,268639,usa,21.0,
382,271284,usa,50.0,
383,274061,usa,26.0,
384,278026,usa,56.0,
385,243,usa,,
386,2010,usa,,
387,20561,usa,40.0,
388,21031,usa,36.0,
389,22038,canada,,
390,22045,usa,,
391,23459,canada,,
392,23511,usa,56.0,
393,28222,usa,23.0,
394,30029,usa,37.0,
395,33570,usa,,
396,36609,usa,32.0,
397,38660,canada,40.0,
398,53575,usa,30.0,
399,54925,usa,,
400,58319,unknown,,
401,61216,usa,,
402,63993,usa,43.0,
403,65484,usa,51.0,
404,70052,canada,30.0,
405,76173,canada,71.0,
406,81609,usa,57.0,
407,81848,usa,35.0,
408,82612,canada,,
409,92810,usa,60.0,
410,93312,usa,,
411,95359,usa,33.0,
412,106225,usa,38.0,
413,114662,canada,,
414,115998,usa,49.0,
415,119631,usa,46.0,
416,127129,canada,,
417,128085,usa,40.0,
418,129489,canada,24.0,
419,130438,canada,38.0,
420,130792,cyprus,36.0,
421,140184,united kingdom,23.0,
422,141201,usa,29.0,
423,144531,usa,37.0,
424,146229,usa,52.0,
425,151643,usa,,
426,159858,usa,37.0,
427,163570,canada,50.0,
428,163690,usa,31.0,
429,164027,canada,,
430,167800,usa,57.0,
431,169181,usa,53.0,
432,185634,usa,,
433,187517,usa,28.0,
434,192914,canada,,
435,193458,canada,40.0,
436,204864,usa,47.0,
437,207148,usa,42.0,
438,208568,usa,,
439,213664,usa,,
440,219683,usa,32.0,
441,225199,canada,54.0,
442,226616,usa,204.0,
443,230496,usa,34.0,
444,231210,usa,44.0,
445,231252,unknown,,
446,232945,usa,28.0,
447,236283,usa,41.0,
448,247241,usa,37.0,
449,251651,usa,39.0,
450,251843,usa,,
451,254064,usa,45.0,
452,254465,usa,22.0,
453,256882,usa,,
454,259901,canada,,
455,268315,usa,,
456,276038,usa,27.0,
457,741,usa,16.0,
458,8284,usa,28.0,
459,8681,usa,34.0,
460,9373,usa,40.0,
461,12824,usa,18.0,
462,19522,usa,54.0,
463,20060,usa,48.0,
464,23872,usa,22.0,
465,26620,unknown,,
466,27647,portugal,,
467,28591,usa,33.0,
468,29259,usa,39.0,
469,30972,usa,47.0,
470,31892,usa,,
471,32195,usa,,
472,37493,usa,,
473,37654,canada,49.0,
474,48046,usa,,
475,52472,usa,209.0,
476,55892,usa,45.0,
477,56856,usa,23.0,
478,58609,canada,,
479,59189,usa,33.0,
480,60041,usa,29.0,
481,69697,usa,24.0,
482,70415,usa,57.0,
483,73394,usa,33.0,
484,78973,portugal,29.0,
485,84795,unknown,,
486,88937,usa,39.0,
487,95741,canada,29.0,
488,102275,usa,52.0,
489,106417,usa,,
490,106816,usa,57.0,
491,107021,usa,45.0,
492,110373,usa,,
493,113270,usa,25.0,
494,114414,usa,27.0,
495,117553,usa,,
496,127233,usa,29.0,
497,130474,usa,33.0,
498,143837,usa,28.0,
499,144478,usa,39.0,
500,146175,usa,27.0,
501,146207,usa,36.0,
502,153662,usa,44.0,
503,154037,denmark,33.0,
504,154469,canada,,
505,159977,usa,,
506,164323,canada,31.0,
507,165759,usa,58.0,
508,166123,usa,32.0,
509,166596,canada,57.0,
510,169233,usa,27.0,
511,170264,usa,23.0,
512,170810,canada,40.0,
513,173481,usa,69.0,
514,179718,unknown,39.0,
515,182085,germany,,
516,182086,germany,,
517,192245,unknown,,
518,196468,usa,57.0,
519,200674,usa,58.0,
520,201969,canada,,
521,204591,canada,30.0,
522,207349,usa,25.0,
523,208147,usa,41.0,
524,210717,usa,42.0,
525,212898,canada,,
526,213126,usa,,
527,213523,usa,,
528,217318,canada,,
529,220597,canada,26.0,
530,225810,usa,56.0,
531,226545,usa,38.0,
532,238419,usa,,
533,238889,usa,33.0,
534,242106,usa,28.0,
535,242477,usa,,
536,244349,usa,40.0,
537,244593,usa,33.0,
538,246655,usa,,
539,247752,usa,30.0,
540,252347,usa,52.0,
541,264031,usa,34.0,
542,265115,usa,,
543,269566,usa,9.0,
544,269719,usa,33.0,
545,5728,usa,22.0,
546,5766,usa,40.0,
547,7283,usa,30.0,
548,15418,spain,23.0,
549,15822,canada,61.0,
550,16263,usa,,
551,16634,usa,42.0,
552,17859,usa,43.0,
553,23585,usa,,
554,25261,usa,67.0,
555,26516,usa,67.0,
556,35050,usa,33.0,
557,36748,usa,28.0,
558,41634,usa,63.0,
559,47279,usa,29.0,
560,53046,usa,,
561,57255,usa,,
562,57725,usa,43.0,
563,60475,usa,,
564,60569,usa,41.0,
565,66680,usa,67.0,
566,69042,canada,55.0,
567,71234,usa,30.0,
568,72636,usa,,
569,72863,netherlands,33.0,
570,76355,australia,,
571,85701,usa,37.0,
572,87141,usa,,
573,87712,canada,19.0,
574,93179,usa,,
575,104636,usa,,
576,107969,usa,51.0,
577,111947,usa,30.0,
578,112845,canada,,
579,115488,australia,22.0,
580,123228,usa,61.0,
581,124942,usa,,
582,128208,usa,34.0,
583,134247,usa,26.0,
584,136382,canada,,
585,137688,usa,46.0,
586,144619,usa,,
587,147965,usa,,
588,148590,canada,49.0,
589,148680,usa,,
590,151537,usa,33.0,
591,152186,canada,33.0,
592,157247,netherlands,48.0,
593,160735,usa,39.0,
594,172742,usa,44.0,
595,173109,usa,,
596,173291,usa,29.0,
597,175003,usa,33.0,
598,175249,usa,,
599,177458,canada,29.0,
600,183597,usa,,
601,184190,usa,,
602,186570,usa,28.0,
603,186841,usa,32.0,
604,189516,usa,37.0,
605,190459,usa,40.0,
606,190925,usa,51.0,
607,194803,usa,44.0,
608,196047,usa,55.0,
609,196891,usa,63.0,
610,207971,usa,53.0,
611,208382,usa,53.0,
612,212216,unknown,,
613,217375,usa,35.0,
614,221870,usa,45.0,
615,223326,usa,30.0,
616,225449,usa,57.0,
617,227702,usa,42.0,
618,229331,usa,37.0,
619,230249,usa,,
620,232131,usa,,
621,232243,usa,19.0,
622,236959,usa,35.0,
623,242824,usa,21.0,
624,245534,canada,,
625,254144,usa,23.0,
626,258185,usa,37.0,
627,258270,japan,,
628,258884,usa,,
629,262459,usa,,
630,262541,canada,,
631,266470,usa,49.0,
632,228998,usa,41.0,
633,259078,usa,49.0,
634,276747,usa,25.0,
635,278843,usa,28.0,
636,4017,usa,48.0,
637,8961,usa,28.0,
638,21788,usa,56.0,
639,22338,usa,33.0,
640,24921,usa,29.0,
641,26883,austria,,
642,34987,usa,37.0,
643,37227,usa,27.0,
644,43619,usa,26.0,
645,55142,usa,47.0,
646,56625,usa,26.0,
647,69990,usa,,
648,86548,romania,24.0,
649,88123,usa,53.0,
650,93629,usa,54.0,
651,96357,usa,31.0,
652,107594,canada,27.0,
653,110382,usa,35.0,
654,114868,canada,31.0,
655,125203,canada,18.0,
656,135277,canada,30.0,
657,147528,canada,,
658,155580,usa,61.0,
659,157273,usa,37.0,
660,158583,usa,40.0,
661,163467,usa,28.0,
662,164956,canada,44.0,
663,184629,usa,,
664,201697,canada,29.0,
665,202277,usa,54.0,
666,205538,canada,,
667,208287,usa,31.0,
668,224220,australia,30.0,
669,228681,usa,,
670,229313,usa,31.0,
671,231838,usa,36.0,
672,234597,italy,,
673,235506,canada,29.0,
674,236267,usa,30.0,
675,237776,usa,,
676,246634,usa,,
677,247423,usa,,
678,249228,usa,33.0,
679,249746,usa,46.0,
680,252798,usa,27.0,
681,269114,usa,57.0,
682,270820,usa,52.0,
683,271016,usa,0.0,
684,276670,canada,30.0,
685,26057,canada,18.0,
686,26544,usa,37.0,
687,28096,usa,44.0,
688,32773,usa,28.0,
689,40197,usa,55.0,
690,43246,canada,36.0,
691,46398,usa,37.0,
692,47117,usa,34.0,
693,47925,usa,,
694,50204,usa,36.0,
695,50225,usa,,
696,55548,usa,,
697,73892,usa,,
698,75860,usa,30.0,
699,77181,usa,33.0,
700,79961,usa,23.0,
701,85656,usa,41.0,
702,94347,usa,44.0,
703,95658,canada,60.0,
704,106245,usa,33.0,
705,107109,canada,,
706,108271,usa,,
707,108485,usa,32.0,
708,111035,usa,,
709,124259,usa,,
710,126604,usa,27.0,
711,127914,usa,43.0,
712,129851,usa,35.0,
713,148744,usa,67.0,
714,153158,usa,35.0,
715,160231,usa,,
716,168047,usa,28.0,
717,181223,usa,,
718,189835,usa,,
719,192244,usa,26.0,
720,196077,usa,28.0,
721,201684,usa,24.0,
722,205735,usa,26.0,
723,208161,usa,34.0,
724,209756,usa,36.0,
725,223402,usa,36.0,
726,237474,canada,24.0,
727,237748,usa,27.0,
728,238545,usa,,
729,250764,usa,,
730,267510,malaysia,23.0,
731,274056,usa,24.0,
732,36003,malaysia,26.0,
733,73681,portugal,27.0,
734,100119,usa,27.0,
735,107376,australia,35.0,
736,124874,usa,32.0,
737,129503,portugal,40.0,
738,143415,usa,50.0,
739,161407,canada,,
740,165138,usa,43.0,
741,169600,portugal,28.0,
742,192544,portugal,27.0,
743,201290,portugal,35.0,
744,233480,usa,,
745,261015,canada,42.0,
746,1435,usa,36.0,
747,7346,usa,49.0,
748,8936,usa,18.0,
749,10660,switzerland,37.0,
750,11601,usa,,
751,12982,spain,41.0,
752,28634,usa,28.0,
753,31695,usa,47.0,
754,36836,usa,56.0,
755,43925,usa,48.0,
756,45471,usa,,
757,46345,usa,53.0,
758,51594,usa,56.0,
759,59209,canada,41.0,
760,60244,usa,47.0,
761,65258,usa,42.0,
762,69405,netherlands,36.0,
763,76818,usa,49.0,
764,82407,usa,,
765,88283,germany,24.0,
766,91203,united kingdom,30.0,
767,95932,usa,36.0,
768,99219,usa,,
769,105517,canada,28.0,
770,114544,usa,35.0,
771,125692,usa,28.0,
772,132663,usa,44.0,
773,137589,usa,35.0,
774,144038,usa,49.0,
775,144899,usa,,
776,148314,canada,29.0,
777,149690,australia,35.0,
778,150968,usa,47.0,
779,161752,usa,58.0,
780,163326,usa,28.0,
781,178199,usa,,
782,178667,usa,34.0,
783,194600,canada,51.0,
784,208141,usa,46.0,
785,212645,usa,21.0,
786,224138,usa,,
787,227884,usa,25.0,
788,238526,usa,,
789,246783,switzerland,47.0,
790,250184,usa,,
791,252695,usa,,
792,263877,canada,44.0,
793,274656,usa,40.0,
794,6073,usa,28.0,
795,20336,usa,32.0,
796,30511,netherlands,,
797,60858,usa,25.0,
798,61619,usa,,
799,62464,usa,26.0,
800,76626,united kingdom,38.0,
801,78834,usa,28.0,
802,80661,unknown,,
803,92853,united kingdom,,
804,110912,usa,36.0,
805,135329,bermuda,40.0,
806,139462,united kingdom,30.0,
807,142479,usa,,
808,159854,usa,2.0,
809,172215,canada,,
810,175271,usa,55.0,
811,186848,usa,31.0,
812,198699,usa,49.0,
813,207965,usa,46.0,
814,208570,usa,45.0,
815,219941,usa,,
816,221655,usa,,
817,225986,united kingdom,36.0,
818,226965,usa,47.0,
819,234288,australia,35.0,
820,268618,usa,,
821,276641,portugal,25.0,
822,262940,unknown,,
823,203380,united kingdom,38.0,
824,276964,usa,34.0,
825,1585,usa,29.0,
826,3556,usa,68.0,
827,6575,usa,,
828,12489,usa,26.0,
829,14638,france,33.0,
830,23288,canada,,
831,27472,usa,41.0,
832,37950,canada,,
833,38081,usa,,
834,41596,mexico,40.0,
835,44893,usa,,
836,48995,usa,44.0,
837,50895,usa,,
838,51992,usa,43.0,
839,55075,usa,33.0,
840,55270,usa,,
841,55395,usa,35.0,
842,57290,usa,40.0,
843,69232,usa,55.0,
844,69389,usa,29.0,
845,70931,usa,36.0,
846,88161,usa,27.0,
847,93130,canada,61.0,
848,105214,usa,34.0,
849,105982,usa,54.0,
850,108005,usa,29.0,
851,113657,usa,,
852,130950,usa,32.0,
853,140410,usa,26.0,
854,146348,usa,,
855,152435,usa,40.0,
856,153723,unknown,31.0,
857,161039,canada,30.0,
858,164417,canada,,
859,165866,usa,27.0,
860,168036,unknown,,
861,172331,usa,27.0,
862,176348,usa,33.0,
863,178914,usa,,
864,184532,usa,28.0,
865,185011,usa,42.0,
866,186527,usa,37.0,
867,188171,usa,,
868,193676,usa,27.0,
869,201058,usa,,
870,210077,usa,55.0,
871,211288,usa,36.0,
872,214315,usa,32.0,
873,219546,usa,25.0,
874,238458,usa,,
875,238475,usa,34.0,
876,241980,usa,35.0,
877,250330,usa,,
878,252071,usa,32.0,
879,253580,canada,52.0,
880,260217,usa,45.0,
881,262040,canada,41.0,
882,267830,usa,101.0,
883,268622,usa,36.0,
884,268734,usa,42.0,
885,270906,usa,32.0,
886,273071,unknown,,
887,99,usa,42.0,
888,3675,spain,24.0,
889,8019,canada,,
890,11629,usa,21.0,
891,13582,portugal,29.0,
892,14456,canada,27.0,
893,16782,usa,53.0,
894,16916,usa,53.0,
895,20115,usa,32.0,
896,21404,canada,,
897,30994,usa,,
898,33179,antarctica,,
899,34222,usa,22.0,
900,37193,germany,20.0,
901,38281,spain,33.0,
902,47856,canada,32.0,
903,50321,spain,40.0,
904,52199,usa,47.0,
905,53628,france,22.0,
906,55492,usa,43.0,
907,56360,austria,35.0,
908,60168,usa,,
909,63243,canada,33.0,
910,64241,usa,43.0,
911,65663,usa,32.0,
912,67515,usa,45.0,
913,68156,usa,34.0,
914,68555,usa,,
915,69355,usa,,
916,76942,usa,25.0,
917,78783,usa,49.0,
918,79942,australia,26.0,
919,80555,united kingdom,20.0,
920,82831,usa,21.0,
921,85502,usa,,
922,86145,usa,45.0,
923,94923,usa,40.0,
924,94985,spain,39.0,
925,95921,australia,,
926,103377,canada,34.0,
927,104665,usa,30.0,
928,106803,spain,22.0,
929,110214,usa,45.0,
930,114089,usa,,
931,114216,canada,,
932,114988,usa,37.0,
933,120082,canada,47.0,
934,120548,spain,39.0,
935,124487,usa,,
936,125878,usa,,
937,126296,united kingdom,41.0,
938,131837,usa,,
939,133935,usa,28.0,
940,135776,usa,32.0,
941,136010,canada,,
942,136237,canada,34.0,
943,136252,usa,33.0,
944,138139,usa,27.0,
945,140294,usa,31.0,
946,141127,usa,,
947,141210,germany,,
948,142121,usa,33.0,
949,149908,united kingdom,29.0,
950,156150,usa,36.0,
951,159860,usa,43.0,
952,161936,australia,53.0,
953,163851,usa,26.0,
954,164675,usa,55.0,
955,170154,portugal,31.0,
956,170513,usa,,
957,170518,usa,61.0,
958,172374,usa,20.0,
959,172512,usa,25.0,
960,175052,usa,57.0,
961,178254,usa,43.0,
962,180722,usa,19.0,
963,181077,canada,35.0,
964,182987,spain,,
965,186601,usa,31.0,
966,187266,usa,66.0,
967,188685,usa,21.0,
968,189279,unknown,39.0,
969,190831,canada,,
970,191728,canada,45.0,
971,191883,usa,27.0,
972,191968,usa,29.0,
973,192479,usa,43.0,
974,198011,usa,,
975,199515,usa,44.0,
976,204790,canada,31.0,
977,205473,canada,32.0,
978,207259,usa,38.0,
979,207339,usa,43.0,
980,207494,usa,42.0,
981,207727,usa,37.0,
982,208563,usa,,
983,208786,usa,36.0,
984,209229,unknown,35.0,
985,211460,austria,33.0,
986,216444,netherlands,57.0,
987,216882,australia,,
988,217740,spain,37.0,
989,218552,usa,48.0,
990,222693,usa,,
991,223156,usa,31.0,
992,224349,usa,23.0,
993,225763,usa,,
994,226553,usa,,
995,227705,usa,36.0,
996,228096,usa,,
997,228579,usa,29.0,
998,230708,usa,43.0,
999,231857,australia,46.0,
1000,233711,australia,36.0,
1001,240225,usa,46.0,
1002,240267,usa,,
1003,243951,usa,56.0,
1004,246507,usa,35.0,
1005,251097,spain,19.0,
1006,251844,portugal,30.0,
1007,255618,usa,30.0,
1008,258152,canada,29.0,
1009,259624,usa,44.0,
1010,261685,usa,43.0,
1011,263344,finland,17.0,
1012,265751,usa,,
1013,268110,usa,,
1014,273979,usa,20.0,
1015,276762,germany,25.0,
1016,146345,usa,47.0,
1017,177113,usa,47.0,
1018,6871,usa,28.0,
1019,12619,canada,56.0,
1020,36606,usa,39.0,
1021,59150,canada,37.0,
1022,93518,usa,,
1023,118099,usa,31.0,
1024,132375,usa,58.0,
1025,141710,usa,,
1026,143294,usa,42.0,
1027,145619,usa,36.0,
1028,172370,usa,24.0,
1029,184513,usa,61.0,
1030,190305,usa,,
1031,203401,usa,,
1032,221946,united kingdom,28.0,
1033,223566,usa,29.0,
1034,238617,usa,44.0,
1035,241666,usa,35.0,
1036,247447,usa,19.0,
1037,265014,usa,45.0,
1038,254,usa,24.0,
1039,2276,usa,46.0,
1040,5543,usa,29.0,
1041,13082,usa,,
1042,21930,usa,28.0,
1043,22252,usa,38.0,
1044,51665,usa,33.0,
1045,54652,usa,30.0,
1046,57095,usa,18.0,
1047,59038,usa,28.0,
1048,59172,canada,36.0,
1049,59269,usa,,
1050,60546,usa,,
1051,66942,malaysia,31.0,
1052,69971,usa,43.0,
1053,70541,germany,26.0,
1054,78553,usa,40.0,
1055,80642,usa,43.0,
1056,81136,usa,41.0,
1057,94682,usa,17.0,
1058,96466,usa,26.0,
1059,100088,united kingdom,26.0,
1060,105054,canada,29.0,
1061,107453,usa,18.0,
1062,107523,usa,,
1063,107889,usa,,
1064,108285,usa,22.0,
1065,109709,usa,24.0,
1066,109779,usa,25.0,
1067,109901,australia,59.0,
1068,113279,usa,24.0,
1069,116122,usa,31.0,
1070,118320,canada,29.0,
1071,122440,canada,29.0,
1072,124489,usa,,
1073,126492,usa,31.0,
1074,126693,canada,33.0,
1075,127200,usa,,
1076,131126,spain,31.0,
1077,132282,usa,23.0,
1078,138198,canada,37.0,
1079,139421,usa,,
1080,142524,usa,36.0,
1081,145239,canada,27.0,
1082,151495,canada,,
1083,151589,usa,56.0,
1084,154176,denmark,31.0,
1085,160558,usa,28.0,
1086,165758,canada,,
1087,165823,usa,17.0,
1088,168212,usa,,
1089,171904,spain,28.0,
1090,172760,usa,29.0,
1091,177432,usa,33.0,
1092,177569,usa,52.0,
1093,180860,canada,,
1094,184483,usa,41.0,
1095,187613,usa,19.0,
1096,193529,usa,51.0,
1097,196160,usa,22.0,
1098,208897,usa,,
1099,214786,usa,,
1100,224764,usa,116.0,
1101,225886,usa,35.0,
1102,229632,usa,23.0,
1103,232106,usa,36.0,
1104,232801,canada,24.0,
1105,234828,usa,,
1106,236340,australia,29.0,
1107,237271,usa,,
1108,248464,usa,30.0,
1109,248850,usa,48.0,
1110,249220,usa,31.0,
1111,254206,usa,31.0,
1112,256407,usa,58.0,
1113,265313,usa,33.0,
1114,271538,usa,23.0,
1115,196493,germany,26.0,
1116,252007,germany,35.0,
1117,159390,germany,36.0,
1118,78941,austria,39.0,
1119,35433,switzerland,40.0,
1120,261105,switzerland,50.0,
1121,44296,australia,26.0,
1122,272225,united kingdom,49.0,
1123,14897,japan,24.0,
